Title,Company,Location,Board,Search Term,Commute,URL,Posted
"Senior Manager Quality Assurance for R&D (f/m/d)","Hexagon3.8","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/senior-manager-quality-assurance-for-rdfmd-hexagon-JV_KO0,42_KE43,50.htm?jl=1010117058752","30d+"
"QA Engineer (Remote)","Remotestar3.7","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/qa-engineer-remote-remotestar-JV_KO0,18_KE19,29.htm?jl=1009426005158","30d+"
"QA Automation Engineer","The Granite Group","Hybrid work in Liverpool","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 33min ❌ | 🚌 ~3h 34min","https://uk.indeed.com/rc/clk?jk=18d6d1c5ba9af14d&bb=pp5CViG7dHtqKH2dji9P72V3aW1aajqOzInz6yLQIWa_ARPKVekTe4P5FPA2mE3mChKfexchfOWm0225Y2hH36mLDocnzmhcovNGNrzlpT3GY0fNzN4Go7uvvWGJhgOi&xkcb=SoCF67M3hPMxC0xCNp0ObzkdCdPP&fccid=28370359905fae7a&vjs=3",""
"SDET Quality Assurance Engineer .Net SDLC, integration testing, performance testing","Adaro Optics Ltd","Hybrid work in Marden","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 1h 59min | 🚌 ~2h 46min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDRfu2abO4f3VPtCOt8PRaQ4rhAQsSZBHZ1p6NioCB46dbLZuB7echwT-xM_0N03ywVgo0UzALYmpYEadsIKnPmk00B3C5qcNXfC_Aly9rWCCo5GP-oyPb4craPBxjV-NdZ_05mjBD0-sed6h2DG4VkoSc3ydTULOTVOqvu5nMsk9onRmrS3LkvUN52sL6_cXSApejDdeACVEAKsENoK8aGra-tddQQn0IivvxgfGe27yk35LzembJsIHuDRDYnSsInTxTP1RTVMo61jCEvaP_Wv2qqFsp3KIvrxxFykpnSfeN3oJ0joAouGi7CcTgPbrvQQ89j4SfURsrqSlebaDqSvXAQ0hSKFwyWQ6hxXrqlORSoCs6aNGdkyI8XJXL0F964CgyuaRGIqr8nq-GjVMnfGd5sAr2KJ3UjsvUzuAGrXdrbz-A_Vvrj2aVhe-28OoO9uMn8KY8o8T1C-9T2vTYRTGUHiTSirIl_AGhLDWwkUfIZ7k0ZRPJ-C6OFZNOJEABEyNvMYJTZzHX_9FwTIHkEssAnkR8YJbtD0bm-hUPwVThJZavBnjv3NLGjM93x_vO7YjUtSxCZX9bzfnajl3GZbjbIfmg7GHv9qQBc0DMmfrZgc54Xhsu6KK9ox00YIL4IUE3t0fRniyCCRjcDKT5Gl8-8DIjfVpcqkAowmyNcnUySoqfxcUGA1z7wxYinEMEGRNAy3mqwBhAoSz6ePbH9Yr1gu5mDBrTq-L1ibvl5jrxJ5Hw_jRbO-eI1yXof59LHqzvaNsfBxUXUqXZ2-HU6OiA8e73MOA=&xkcb=SoAs6_M3hPMxC0xCNp0AbzkdCdPP&p=11&camk=C3EPSzFlQw8B0UCxzuQaOA==&vjs=3",""
"QA LEAD","Alfred H Knight Group","Hybrid work in Liverpool L34 1PJ","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 33min ❌ | 🚌 ~3h 34min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwRIMTA5hkjiPmXPNhx2hmk6xPN7vmU-OlxGv1UrrML9Z7fCgF_HJLrUaIEgDTD3G9fi2aW6Dz-O98AszqZpbhQ6OUg95Y3x9KXcA2iDvQXRdjLO-OJjmOVP6xYFLPOIBWQ32nDf-Z6mdJs_ADYuol-eMzoB1etj7row_7Iz3bekDyS3oK5hVjc_CL5ZPBUZLvI46uIpjMf5QVOtlQAExqwqeWisLryKrUE2YQVXbR2UH4MfdyxPDv8i5-jOizGNxooFaJ6IncZ0tBiOwR1jY_2rIW7fPaMH_WA4a27IGKW0nSCkbPfdMnSbNcO3AhQB7keksK3Y2R2hJupXheGN5hOPSHF6KaCq_PU-4HCKPV6bCKKZnh-3Vy6v6Qht9UIjeqGOqsGTZ9hZgRHew9akPLI2qaSmNE8dvH4E8LvJ22wqAyr09bF0g-zlNAH4ZaW3Z5ew_u3oWjksSEGsVUVWX3DZVhK37nJCGdig3sWEfym1Ba7xm9CaAUM3zieZFqId9ojvUDcipGY2VRMkDHOLPqVooeC-DFdjZ314zyESXb0D5ZBlxVUopJG3R57TjlJiV1e0wH8eGKFaMYgVUQKwuANp8jSM_rrDK9dfCCAXR6kxKltze-sc8XuVz_8CtdbaEUn9S5cE6rDOxK8SJS7WVAQW0CarMGjtHd5-XBx9pgmp4Wbg464GLssj1E4dpEh46wpFJWsHQetp4jMYyiKW3B7wGq4HlE3NEW4Gqox3QhXA==&xkcb=SoCi6_M3hPMxC0xCNp0HbzkdCdPP&p=12&camk=G42KULXkIwN3oVfmJpNu4Q==&vjs=3",""
"QA Engineer","Bromford Flagship Livewest","Hybrid work in Northampton","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 10min ❌ | 🚌 ~3h 3min","https://uk.indeed.com/rc/clk?jk=562c167178a99ec9&bb=iwgYfCZlfXj-yeSXJ1V183D7cLJVEjX7ZiZPbRFsDMsSVdNf-IVcITbE8UHhHQNbgZzGeSxXcdtdH1pCLTWZ8Vfkp0pOphLSIrnBzlCthTFH3Ap0ygbDne50vptV2JFX&xkcb=SoAm67M3hPMweaRCBh0LbzkdCdPP&fccid=7f8c933e69d57909&vjs=3",""
"QA Engineer (Contract)","Instil Software Ltd","Hybrid work in Belfast","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 10min ❌ | 🚌 ~3h 3min","https://uk.indeed.com/rc/clk?jk=0b8afb4c3246e1ad&bb=iwgYfCZlfXj-yeSXJ1V18-IWwN3ZsUdKeNmZ20N7Fm7LEIfbB2pIXLoTzYB7Vm1Kr2u8AASnBQGKtu95sG3QtuPIAc32IfZZKoyxvcX189Hs4uLfBUp2PfZpMP-NeGji&xkcb=SoCo67M3hPMweaRCBh0MbzkdCdPP&fccid=6414c839233cc30c&vjs=3",""
"QA Engineer (Contract)","Instil","Hybrid work in Belfast","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 10min ❌ | 🚌 ~3h 3min","https://uk.indeed.com/rc/clk?jk=7052e22da37d5277&bb=iwgYfCZlfXj-yeSXJ1V18znpq9pG5RMHhOmVjACziovC_IVwl7Ad7YL7-oUr-7Lfb0YZ-PyZj9Zmpdp6zYIwggauhJy7s7aMTKeRSCVMiC4VeImUu-wS15uOAgI170ch&xkcb=SoD167M3hPMweaRCBh0CbzkdCdPP&fccid=2d9dd2b1df292641&vjs=3",""
"Quality Assurance Analyst","SOUTHERN COMMUNICATIONS LIMITED","Hybrid work in Woodbridge","Indeed","Testing Lead","🔀 Hybrid | 🚗 2h 10min ❌ | 🚌 ~3h 3min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlXhGvmphng2iHlheON7tFK0t2KMQv22SWXF7mqK7XFIQkdPiSGc-pwms-mQARMaCoZ8hZ1-613c6qGQRAuGNP7nnUIL2AdqVg_L3GBWbJuJAOvrEuyUDHkp4ns6Mq16zE1QmKOPfzTpb1S-JajtGFXotoqE2fGpxP25t6raHS1EEx4XUq7Y26TjZz1u7e2CNL-oDwZO19bKHC-T-7RYFDpkRL2H5PILuOB_nHCO5-0vK2wkSXkkIzJChFP8y-EzTdCoetWlCQVSj83o2fHDhPHBuNz0G9ncBZ3w6MrjZG7BJ8b0b1pp9XGaPX5pTtT7P43DDezNV7-zx093d3UnJzp-0jh8lWO0a50JBZaWl6auulaVSuRuUiF2Idw751du7Hq_GyoQ8or4p3MPbsVrNTZxagiy5iZFvDeHZDrNMgUqzy4Ee6b3X3dvr7y11tBJuYSTgUwi_YzB8bgYqnJRxpkVr00hmy9fC7njbKtPrrT2CycxIYwBIni5W9SUcYK628uaCzBm5FvwtimyCwav0SanDRo7i_xAvtW6F2feAARetJpCKrbLfspSHT_rxK6DkCXyEudiiphzZLs9jytqVpS_bInnYt0RXmSSlzTo9OGSsfyTWaWhkezSoR6TNyAhgt_W7v4gj2BQwB-77QIA9aeVTG4nDWCZmKmlxIOueqYo_7t_zlcU2X42faMUqnll7kt-AcppfxIUonyn67qf6K&xkcb=SoBf6_M3hPNfIhRCBh0DbzkdCdPP&p=8&camk=ethIe0s0hedAYNH6leH9lA==&vjs=3",""
"Quality Assurance Analyst","Southern Communications Group","Melton","Indeed","Testing Lead","🏢 Office | 🚗 2h 23min ❌ | 🚌 ~3h 21min","https://uk.indeed.com/rc/clk?jk=5af816461301935b&bb=Xd7aUNGhs4V7TeHLQcwiVix-hRXYsJl4OV6gMpk1fp_IAntj6Mh9GUsJrQAfp09UEFn6id9PIy73D5WcedMy_8Wmsqsnoc1e9yNyCQX8FVATkmRfr03XIkBtpj2ekoB3&xkcb=SoCC67M3hPNfIhRCBh0BbzkdCdPP&fccid=aa91f0c60d54ae3f&vjs=3",""
